,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
6182,H,2.0,1.6363636363636365,W,W,W,W,L,D,1.0909090909090908,0.6363636363636364,0.6363636363636364,-1.0
6183,D,2.090909090909091,0.9090909090909092,W,D,D,W,D,L,1.3636363636363635,-0.18181818181818185,0.2727272727272727,-16.0
6184,D,0.9090909090909092,1.0909090909090908,L,W,W,W,W,W,-0.8181818181818182,-0.4545454545454545,-0.3636363636363637,-2.0
6185,D,2.090909090909091,1.818181818181818,W,D,W,D,D,D,1.181818181818182,0.8181818181818182,0.3636363636363637,-1.0
6186,H,0.6363636363636364,1.181818181818182,L,L,L,L,D,W,-1.3636363636363635,0.09090909090909093,-0.7272727272727273,14.0
6187,A,1.0909090909090908,0.9090909090909092,D,W,L,L,L,D,-0.3636363636363637,-0.3636363636363637,0.18181818181818185,-13.0
6188,H,2.090909090909091,1.3636363636363635,W,W,D,W,D,W,1.0,0.09090909090909093,0.4545454545454545,-5.0
6189,A,0.4545454545454545,1.3636363636363635,L,D,L,D,L,D,-0.8181818181818182,0.09090909090909093,-0.4545454545454545,7.0
6190,A,0.9166666666666666,2.0,L,L,L,D,W,D,-0.25,1.25,-0.4166666666666667,11.0
6191,D,1.5,0.4166666666666667,L,W,L,L,L,D,0.16666666666666666,-0.9166666666666666,0.3333333333333333,-1.0
6192,D,1.5,2.0,W,D,L,D,W,D,0.25,1.0833333333333333,-0.4166666666666667,3.0
6193,D,1.0833333333333333,2.1666666666666665,L,L,D,W,W,W,0.0,1.3333333333333333,-0.6666666666666666,-2.0
6194,A,1.0833333333333333,1.0,D,W,W,L,L,D,-0.4166666666666667,-0.25,0.5,-7.0
6195,H,0.4166666666666667,0.8333333333333334,W,L,L,W,L,L,-1.0,-1.1666666666666667,0.08333333333333333,-3.0
6196,H,1.75,0.9166666666666666,D,D,D,D,L,W,0.75,-0.75,-0.08333333333333333,-4.0
6197,H,1.25,1.0,L,W,D,L,D,W,-0.3333333333333333,-0.4166666666666667,0.25,12.0
6198,A,0.9166666666666666,2.083333333333333,D,W,D,W,W,W,-0.16666666666666666,1.4166666666666667,-0.75,10.0
6199,H,1.0833333333333333,1.1666666666666667,W,L,L,W,D,W,-0.25,-0.3333333333333333,-0.16666666666666666,-6.0
6200,A,1.0769230769230769,2.0769230769230766,L,W,D,W,D,W,-0.6153846153846154,1.2307692307692308,-0.15384615384615385,16.0
6201,H,2.1538461538461537,1.8461538461538465,W,W,W,W,D,D,1.3846153846153846,0.7692307692307693,0.6153846153846154,7.0
6202,D,0.7692307692307693,1.2307692307692308,L,W,L,W,W,L,-1.3076923076923077,0.07692307692307693,-0.3076923076923077,6.0
6203,D,0.9230769230769232,0.8461538461538461,L,L,D,L,D,W,-0.4615384615384616,-0.2307692307692308,-0.07692307692307693,-19.0
6204,H,2.0769230769230766,0.6153846153846154,D,W,W,W,W,L,1.2307692307692308,-0.6923076923076923,0.38461538461538464,-9.0
6205,H,0.4615384615384616,0.8461538461538461,D,L,L,L,L,L,-0.8461538461538461,-0.3076923076923077,0.15384615384615385,-3.0
6206,H,1.9230769230769231,1.1538461538461535,D,D,W,W,L,L,1.0,-0.15384615384615385,0.15384615384615385,-14.0
6207,D,1.4615384615384617,0.8461538461538461,D,W,D,L,D,L,0.2307692307692308,-0.7692307692307693,-0.07692307692307693,-2.0
6208,H,1.0769230769230769,1.4615384615384617,D,L,L,D,L,W,0.0,0.15384615384615385,0.0,-5.0
6209,A,1.3846153846153846,1.0,W,L,W,L,D,W,-0.2307692307692308,-0.4615384615384616,0.0,4.0
6210,H,0.7857142857142857,1.2142857142857142,L,L,L,W,D,L,-0.35714285714285715,0.07142857142857142,-0.35714285714285715,9.0
6211,A,2.142857142857143,2.2142857142857144,W,W,D,W,W,W,1.2142857142857142,1.3571428571428572,-0.2857142857142857,-6.0
6212,H,1.1428571428571428,1.0,W,L,D,L,L,W,-0.35714285714285715,-0.6428571428571429,0.21428571428571427,-11.0
6213,H,0.5714285714285714,0.9285714285714286,L,W,W,D,L,L,-0.7857142857142857,-0.42857142857142855,0.07142857142857142,16.0
6214,H,1.7142857142857142,0.6428571428571429,L,W,D,W,D,L,0.6428571428571429,-0.7142857142857143,0.07142857142857142,-9.0
6215,H,1.2142857142857142,1.2857142857142858,D,W,W,L,W,L,0.07142857142857142,-0.2857142857142857,0.0,1.0
6216,A,0.8571428571428571,2.0,D,L,D,W,D,D,-0.7142857142857143,1.0714285714285714,-0.2857142857142857,5.0
6217,H,1.0714285714285714,2.142857142857143,L,W,L,W,D,W,-0.2857142857142857,1.2857142857142858,-0.6428571428571429,8.0
6218,D,1.3571428571428572,1.4285714285714286,L,D,L,D,D,W,0.07142857142857142,0.21428571428571427,-0.14285714285714285,6.0
6219,H,0.8571428571428571,0.7857142857142857,D,L,D,D,L,W,-0.21428571428571427,-1.2142857142857142,0.14285714285714285,0.0
6220,H,2.066666666666667,1.2666666666666666,W,W,D,W,W,L,1.2666666666666666,-0.2,0.06666666666666668,-7.0
6221,H,0.9333333333333332,1.2,L,L,L,W,L,W,-0.7333333333333333,-0.2,-0.13333333333333333,4.0
6222,D,0.7333333333333333,0.9333333333333332,L,D,L,W,L,L,-1.2,-0.13333333333333333,0.06666666666666668,5.0
6223,H,0.8666666666666667,2.0,L,D,L,L,W,W,-0.4666666666666667,1.0,-0.5333333333333333,-3.0
6224,H,0.6,0.7333333333333333,L,W,D,W,L,W,-1.0,-0.6666666666666666,-0.3333333333333333,-5.0
6225,H,1.2,1.3333333333333333,L,L,W,D,L,D,-0.4,0.06666666666666668,0.06666666666666668,2.0
6226,H,2.2666666666666666,1.3333333333333333,W,W,W,W,D,W,1.4,0.2,0.3333333333333333,-4.0
6227,D,2.0,0.8,L,W,D,L,D,L,1.1333333333333333,-0.9333333333333332,0.5333333333333333,1.0
6228,H,1.4,1.8,D,D,D,W,L,W,0.2,0.9333333333333332,-0.06666666666666668,2.0
